,sentence,label,vader_score,vader_pred,textblob_score,textblob_pred,distilbert_pred,distilbert_conf
69,"this one is definitely one to skip , even for horror movie fanatics . ",0,-0.25,0,0.0,1,0,0.8616224527359009
70,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",0,0.5994,1,0.3,1,0,0.9958400726318359
71,"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ",1,-0.0129,0,0.3333333333333333,1,1,0.9998536109924316
73,"one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . ",1,-0.0258,0,0.11111111111111112,1,1,0.9746876358985901
74,a string of rehashed sight gags based in insipid vulgarity . ,0,-0.4588,0,0.0,1,0,0.9995115995407104
79,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ,0,-0.0516,0,0.07301587301587302,1,0,0.9996278285980225
80,the draw ( for `` big bad love '' ) is a solid performance by arliss howard . ,1,0.3182,1,-0.04999999999999996,0,1,0.9998527765274048
82,it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ,0,0.0,1,0.0,1,0,0.9215105175971985
83,"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ",1,0.5936,1,-0.04583333333333334,0,1,0.9030234217643738
86,"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ",0,0.1494,1,0.10833333333333332,1,0,0.9996635913848877
87,jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters ,1,0.4404,1,0.0,1,0,0.996091902256012
88,fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ,1,0.3612,1,-0.075,0,1,0.9980431795120239
89,"we know the plot 's a little crazy , but it held my interest from start to finish . ",1,0.5341,1,-0.39375,0,1,0.9974119067192078
92,"you wo n't like roger , but you will quickly recognize him . ",0,-0.1419,0,0.3333333333333333,1,1,0.9985194802284241
93,if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ,1,-0.34,0,-0.31666666666666665,0,0,0.9993919134140015
94,"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . ",1,0.5994,1,-0.15,0,1,0.9997764229774475
95,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,0,-0.8885,0,-0.04999999999999999,0,1,0.9993116855621338
96,"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ",0,0.3291,1,-0.16666666666666666,0,0,0.9975789189338684
98,"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ",0,0.128,1,0.2,1,0,0.9998171925544739
99,why make a documentary about these marginal historical figures ? ,0,0.0,1,0.0,1,0,0.9974779486656189
101,"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ",0,0.2144,1,0.2125,1,0,0.9975209832191467
105,"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ",0,0.0,1,0.08611111111111111,1,0,0.9839488863945007
107,what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . ,0,0.7783,1,0.4,1,1,0.9410338401794434
108,"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . ",0,-0.2057,0,0.1,1,0,0.9948334693908691
110,"scores no points for originality , wit , or intelligence . ",0,0.2263,1,0.0,1,0,0.999683141708374
111,"there is n't nearly enough fun here , despite the presence of some appealing ingredients . ",0,-0.4023,0,0.26666666666666666,1,0,0.9991746544837952
112,hilariously inept and ridiculous . ,1,-0.3612,0,0.08333333333333334,1,1,0.9824227094650269
113,this movie is maddening . ,0,-0.4939,0,0.0,1,0,0.9997883439064026
115,sam mendes has become valedictorian at the school for soft landings and easy ways out . ,0,0.4404,1,0.26666666666666666,1,1,0.9968371391296387
116,one of the smartest takes on singles culture i 've seen in a long time . ,1,0.6124,1,-0.05,0,1,0.9998302459716797
117,"moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . ",1,-0.0018,0,0.3,1,1,0.9997507929801941
118,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ,0,0.5709,1,0.24545454545454545,1,1,0.9873793125152588
121,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ,0,0.0,1,0.1,1,1,0.997744083404541
123,turns potentially forgettable formula into something strangely diverting . ,1,-0.296,0,-0.275,0,0,0.9925455451011658
127,"in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest . ",0,0.4588,1,0.12333333333333334,1,0,0.9996359348297119
130,suffers from the lack of a compelling or comprehensible narrative . ,0,-0.5423,0,0.03333333333333335,1,0,0.9997965693473816
131,"in execution , this clever idea is far less funny than the original , killers from space . ",0,0.4779,1,0.145,1,0,0.9997319579124451
133,"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . ",0,0.0,1,0.5,1,0,0.9995467066764832
135,"pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . ",0,0.128,1,-0.3499999999999999,0,1,0.9202570915222168
136,looks and feels like a project better suited for the small screen . ,0,0.6597,1,0.125,1,0,0.9987214207649231
137,"forced , familiar and thoroughly condescending . ",0,-0.4588,0,0.03749999999999998,1,0,0.9997555613517761
139,it 's not the ultimate depression-era gangster movie . ,0,0.0,1,0.0,1,0,0.9996045231819153
140,sacrifices the value of its wealth of archival foot-age with its less-than-objective stance . ,0,0.6808,1,0.0,1,0,0.9996292591094971
141,the character of zigzag is not sufficiently developed to support a film constructed around him . ,0,0.4019,1,0.1,1,0,0.9997902512550354
142,what better message than ` love thyself ' could young women of any size receive ? ,1,0.7964,1,0.3666666666666667,1,0,0.9917102456092834
144,"while ( hill ) has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film . ",0,-0.4588,0,0.06818181818181818,1,0,0.9997273087501526
145,the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it . ,0,0.21,1,0.5,1,1,0.8561816215515137
147,the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second . ,0,0.8817,1,0.16130952380952382,1,0,0.9742414951324463
148,feels too formulaic and too familiar to produce the transgressive thrills of early underground work . ,0,0.3612,1,0.15833333333333333,1,0,0.9998016953468323
149,"the volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance . ",1,0.8126,1,-0.05555555555555555,0,1,0.990090012550354
154,a solid examination of the male midlife crisis . ,1,-0.5423,0,0.0,1,1,0.9997395873069763
155,a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes . ,0,0.1779,1,0.02500000000000001,1,0,0.9992893934249878
157,it takes talent to make a lifeless movie about the most heinous man who ever lived . ,0,0.4215,1,0.5,1,0,0.9997040629386902
158,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0,0.4404,1,0.04999999999999999,1,1,0.9935868978500366
159,"like leon , it 's frustrating and still oddly likable . ",1,-0.1027,0,0.04999999999999999,1,1,0.999848484992981
161,not exactly the bees knees ,0,0.0,1,-0.125,0,0,0.9991471767425537
163,"slapstick buffoonery can tickle many a preschooler 's fancy , but when it costs a family of four about $ 40 to see a film in theaters , why spend money on a dog like this when you can rent a pedigree instead ? ",0,0.5023,1,0.5,1,0,0.9984234571456909
165,may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen . ,0,-0.3506,0,0.0,1,0,0.9989266991615295
166,"characters still need to function according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license avary employs . ",0,-0.0191,0,0.4333333333333333,1,0,0.998778760433197
167,the end result is a film that 's neither . ,0,0.0,1,0.0,1,0,0.9997267127037048
171,rarely has leukemia looked so shimmering and benign . ,0,0.3744,1,0.3,1,1,0.9779420495033264
173,"determined to be fun , and bouncy , with energetic musicals , the humor did n't quite engage this adult . ",0,0.815,1,0.3,1,0,0.9996882677078247
175,"bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves . ",1,-0.3102,0,0.2875,1,1,0.9984622001647949
176,"delivers the same old same old , tarted up with latin flava and turned out by hollywood playas . ",0,0.0,1,0.05,1,0,0.9580541253089905
178,it made me want to wrench my eyes out of my head and toss them at the screen . ,0,0.0772,1,0.0,1,0,0.665903627872467
180,"unfortunately , it 's not silly fun unless you enjoy really bad movies . ",0,-0.6974,0,0.06250000000000006,1,0,0.9953953623771667
182,"i sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand . ",0,0.8621,1,0.9099999999999999,1,0,0.9995177984237671
183,"the lower your expectations , the more you 'll enjoy it . ",0,0.3102,1,0.45,1,1,0.9996402263641357
184,"though perry and hurley make inspiring efforts to breathe life into the disjointed , haphazard script by jay scherick and david ronn , neither the actors nor director reginald hudlin can make it more than fitfully entertaining . ",0,0.5667,1,0.225,1,1,0.6638731360435486
188,"a misogynistic piece of filth that attempts to pass itself off as hip , young adult entertainment . ",0,0.4215,1,0.1,1,0,0.9977509379386902
189,"its story may be a thousand years old , but why did it have to seem like it took another thousand to tell it to us ? ",0,0.5023,1,0.1,1,0,0.9995365142822266
190,"try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! ' ",0,0.69,1,0.4017857142857143,1,0,0.9954130053520203
192,"a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences . ",1,-0.1531,0,0.21428571428571427,1,1,0.9809227585792542
193,"morton uses her face and her body language to bring us morvern 's soul , even though the character is almost completely deadpan . ",1,0.0,1,-0.55,0,1,0.993157684803009
197,"for starters , the story is just too slim . ",0,0.0,1,0.0,1,0,0.9997972846031189
199,"at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know much more when you leave . ",0,-0.1189,0,0.05499999999999999,1,0,0.9996379613876343
201,"inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat . ",1,-0.4497,0,0.08333333333333333,1,1,0.9878334999084473
202,"there ought to be a directing license , so that ed burns can have his revoked . ",0,0.0,1,0.0,1,0,0.9993591904640198
208,"and the lesson , in the end , is nothing new . ",0,0.0,1,0.13636363636363635,1,0,0.9997264742851257
211,to say this was done better in wilder 's some like it hot is like saying the sun rises in the east . ,0,0.7845,1,0.375,1,0,0.9854887127876282
213,"this time mr. burns is trying something in the martin scorsese street-realist mode , but his self-regarding sentimentality trips him up again . ",0,0.4215,1,0.0,1,1,0.9758961200714111
214,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ",0,0.0129,1,-0.07272727272727272,0,0,0.9975234866142273
217,"once ( kim ) begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it 's too high a price to pay for a shimmering picture postcard . ",0,-0.4588,0,0.16,1,0,0.9993721842765808
218,"all that 's missing is the spontaneity , originality and delight . ",0,0.4019,1,-0.2,0,0,0.8283114433288574
222,"a psychological thriller with a genuinely spooky premise and an above-average cast , actor bill paxton 's directing debut is a creepy slice of gothic rural americana . ",1,0.1027,1,-0.024999999999999994,0,1,0.998992383480072
229,this movie seems to have been written using mad-libs . ,0,0.0,1,0.0,1,0,0.9994262456893921
230,reign of fire looks as if it was made without much thought -- and is best watched that way . ,1,0.4215,1,0.6,1,0,0.6403108835220337
231,"martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid . ",1,-0.5106,0,-0.24375000000000002,0,1,0.999826967716217
233,i 'd have to say the star and director are the big problems here . ,0,-0.4019,0,0.0,1,0,0.9995625615119934
235,"whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie . ",1,-0.2878,0,-0.325,0,1,0.9969412684440613
236,not since japanese filmmaker akira kurosawa 's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur . ,1,-0.7506,0,0.0,1,1,0.9984208345413208
237,a by-the-numbers effort that wo n't do much to enhance the franchise . ,0,0.0,1,0.2,1,0,0.9994681477546692
238,"an occasionally funny , but overall limp , fish-out-of-water story . ",0,0.2031,1,0.016666666666666663,1,0,0.9994884729385376
241,it appears that something has been lost in the translation to the screen . ,0,-0.3182,0,0.0,1,0,0.9997418522834778
243,the film tunes into a grief that could lead a man across centuries . ,1,-0.4939,0,-0.8,0,0,0.9631166458129883
246,it 's the chemistry between the women and the droll scene-stealing wit and wolfish pessimism of anna chancellor that makes this `` two weddings and a funeral '' fun . ,1,-0.1779,0,0.3,1,1,0.999767005443573
248,"a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution . ",1,0.128,1,0.12499999999999999,1,0,0.9621613025665283
249,huston nails both the glad-handing and the choking sense of hollow despair . ,1,-0.6486,0,-0.1,0,1,0.8497800230979919
251,the film tries too hard to be funny and tries too hard to be hip . ,0,0.2732,1,-0.10666666666666669,0,0,0.9995842576026917
253,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday . ",0,0.34,1,0.1,1,0,0.9887761473655701
254,attempts by this ensemble film to impart a message are so heavy-handed that they instead pummel the audience . ,0,0.0,1,0.0,1,0,0.9997101426124573
256,rarely has so much money delivered so little entertainment . ,0,0.4186,1,0.10416666666666667,1,0,0.9894986152648926
257,taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes . ,0,0.25,1,0.0,1,0,0.9994311928749084
258,`` the time machine '' is a movie that has no interest in itself . ,0,-0.357,0,0.0,1,0,0.999798595905304
260,"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost weight ! ",0,0.4199,1,-0.13194444444444445,0,0,0.999314546585083
262,"it 's like every bad idea that 's ever gone into an after-school special compiled in one place , minus those daytime programs ' slickness and sophistication ( and who knew they even had any ? ) . ",0,0.1779,1,-0.14761904761904757,0,0,0.9997324347496033
263,"chilling , well-acted , and finely directed : david jacobson 's dahmer . ",1,-0.0258,0,-0.04166666666666666,0,1,0.99981290102005
264,"it ca n't decide if it wants to be a mystery/thriller , a romance or a comedy . ",0,0.7269,1,0.2,1,0,0.9995558857917786
265,"paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface . ",0,0.5709,1,0.12916666666666665,1,0,0.9997115731239319
266,"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . ",1,0.0,1,-0.2,0,0,0.9948379397392273
267,"it 's played in the most straight-faced fashion , with little humor to lighten things up . ",0,0.4951,1,0.15625,1,0,0.9759125709533691
271,as unseemly as its title suggests . ,1,0.0,1,0.0,1,0,0.9921696782112122
272,it 's like watching a nightmare made flesh . ,0,0.3612,1,0.0,1,0,0.9977481961250305
273,"minority report is exactly what the title indicates , a report . ",1,0.0,1,0.25,1,0,0.8573412895202637
274,"it 's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that . ",0,0.6249,1,-0.13547619047619047,0,1,0.9963465332984924
277,"it just may inspire a few younger moviegoers to read stevenson 's book , which is a treasure in and of itself . ",1,0.7096,1,-0.1,0,1,0.99982750415802
278,basically a static series of semi-improvised ( and semi-coherent ) raps between the stars . ,0,0.0,1,0.5,1,0,0.9992324113845825
281,chokes on its own depiction of upper-crust decorum . ,0,-0.4588,0,0.6,1,0,0.9997203946113586
282,"while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer ",1,-0.2263,0,0.03125,1,0,0.9986774325370789
284,directed in a paint-by-numbers manner . ,0,0.0,1,0.0,1,0,0.997841477394104
285,k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension . ,0,-0.7269,0,0.4,1,0,0.9941457509994507
291,"even with a green mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , kilmer seems to be posing , rather than acting . ",0,0.0,1,-0.1,0,0,0.9877693057060242
292,the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships . ,0,0.6705,1,-0.05,0,1,0.992749035358429
295,jones ... does offer a brutal form of charisma . ,1,-0.6249,0,-0.875,0,1,0.9991148114204407
296,its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks . ,0,0.2732,1,-0.016666666666666666,0,0,0.9996036887168884
298,serving sara does n't serve up a whole lot of laughs . ,0,0.4939,1,0.2,1,0,0.9997041821479797
300,"fun , flip and terribly hip bit of cinematic entertainment . ",1,0.3612,1,-0.2333333333333333,0,1,0.9998618364334106
301,"the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays . ",0,0.2023,1,0.08333333333333331,1,0,0.5160365700721741
305,what was once original has been co-opted so frequently that it now seems pedestrian . ,0,0.3182,1,0.2375,1,0,0.999085545539856
310,"if you can stomach the rough content , it 's worth checking out for the performances alone . ",1,-0.0258,0,0.09999999999999999,1,1,0.99977046251297
312,i 'll bet the video game is a lot more fun than the film . ,0,0.5563,1,0.13333333333333333,1,1,0.9977486729621887
315,"complete lack of originality , cleverness or even visible effort ",0,0.25,1,0.1,1,0,0.9997922778129578
318,hit and miss as far as the comedy goes and a big ole ' miss in the way of story . ,0,0.0772,1,0.05,1,0,0.9934967756271362
322,that 's pure pr hype . ,0,0.0,1,0.21428571428571427,1,0,0.9973944425582886
323,a painfully funny ode to bad behavior . ,1,-0.6124,0,-0.22499999999999992,0,1,0.99700528383255
324,"you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . ",1,-0.7506,0,-0.29999999999999993,0,0,0.9496975541114807
328,an unwise amalgam of broadcast news and vibes . ,0,0.0,1,0.0,1,0,0.9884937405586243
330,and that leaves a hole in the center of the salton sea . ,0,0.0,1,-0.1,0,0,0.9984146356582642
335,"with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry 's boss , there is n't a redeeming moment here . ",0,0.6369,1,0.55,1,0,0.9990684390068054
340,"the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",0,-0.5413,0,0.14285714285714288,1,0,0.9978379607200623
343,no way i can believe this load of junk . ,0,-0.296,0,0.0,1,0,0.999742329120636
344,"there is a fabric of complex ideas here , and feelings that profoundly deepen them . ",1,0.0,1,-0.10833333333333334,0,1,0.999556839466095
345,"this tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , nicholas meyer 's star trek vi : the undiscovered country . ",1,0.0,1,-0.11666666666666667,0,1,0.9997206330299377
346,"not only unfunny , but downright repellent . ",0,0.0,1,-0.45,0,0,0.9960511326789856
347,"works hard to establish rounded characters , but then has nothing fresh or particularly interesting to say about them . ",0,0.3284,1,0.16944444444444443,1,0,0.9997445940971375
349,... turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock . ,0,-0.7318,0,0.11666666666666665,1,0,0.9970731735229492
352,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ",1,-0.0516,0,0.25,1,1,0.9996774196624756
354,"the film is quiet , threatening and unforgettable . ",1,-0.5267,0,0.4,1,1,0.9996365308761597
355,there is no pleasure in watching a child suffer . ,0,-0.7578,0,0.0,1,0,0.9993324875831604
356,"jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot . ",0,-0.2472,0,0.11363636363636363,1,1,0.9715963006019592
357,stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time . ,0,0.4013,1,0.5,1,0,0.992774486541748
358,( d ) oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful . ,1,0.6041,1,-0.06666666666666667,0,0,0.9897913932800293
362,"as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul . ",1,0.0,1,-0.15,0,1,0.998489260673523
363,it 's a grab bag of genres that do n't add up to a whole lot of sense . ,0,0.0,1,0.2,1,0,0.9997567534446716
365,"portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama . ",0,0.0,1,0.1,1,0,0.9917423725128174
369,"without ever becoming didactic , director carlos carrera expertly weaves this novelistic story of entangled interrelationships and complex morality . ",1,0.0,1,-0.11666666666666665,0,1,0.9991181492805481
370,"partway through watching this saccharine , easter-egg-colored concoction , you realize that it is made up of three episodes of a rejected tv show . ",0,-0.5106,0,0.0,1,0,0.9997214674949646
374,"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty . ",0,-0.033,0,0.03333333333333333,1,0,0.9997555613517761
375,we have n't seen such hilarity since say it is n't so ! ,1,0.0,1,0.0,1,0,0.9446525573730469
376,to call the other side of heaven `` appalling '' would be to underestimate just how dangerous entertainments like it can be . ,0,0.3182,1,-0.35833333333333334,0,0,0.9996867179870605
377,nothing is sacred in this gut-buster . ,0,0.0,1,0.0,1,0,0.9990690350532532
379,tries to add some spice to its quirky sentiments but the taste is all too familiar . ,0,0.0,1,0.09166666666666667,1,0,0.9996113181114197
381,"with tightly organized efficiency , numerous flashbacks and a constant edge of tension , miller 's film is one of 2002 's involvingly adult surprises . ",1,0.2732,1,-0.019642857142857142,0,1,0.999751627445221
382,a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . ,0,0.8491,1,0.39166666666666666,1,0,0.9969459176063538
385,"while the resident evil games may have set new standards for thrills , suspense , and gore for video games , the movie really only succeeds in the third of these . ",0,0.1477,1,-0.03272727272727274,0,0,0.9446821212768555
386,it 's a remarkably solid and subtly satirical tour de force . ,1,0.2247,1,-0.16666666666666666,0,1,0.9998778104782104
391,... plays like somebody spliced random moments of a chris rock routine into what is otherwise a cliche-riddled but self-serious spy thriller . ,0,0.431,1,-0.5,0,0,0.9995707869529724
394,"whether writer-director anne fontaine 's film is a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or none of the above , it is as seductive as it is haunting . ",1,-0.6705,0,-0.07777777777777778,0,1,0.999407172203064
395,another in-your-face wallow in the lower depths made by people who have never sung those blues . ,0,-0.296,0,0.0,1,1,0.7810545563697815
397,"it 's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children . ",1,0.8442,1,-0.1,0,1,0.9998564720153809
399,"if director michael dowse only superficially understands his characters , he does n't hold them in contempt . ",0,-0.5859,0,0.0,1,1,0.9336622357368469
402,"however it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust . ",0,0.3818,1,0.3,1,0,0.9988963603973389
403,as vulgar as it is banal . ,0,0.0,1,-0.5,0,0,0.9997628331184387
